,x,y
5278,6984.556869896558,1905.2997287002984
5791,7010.127395244153,195.00773814789957
5281,7684.710200654855,948.3652799272533
5284,4725.990841908018,1689.8579941245953
5287,6180.683109762654,397.67095096328006
5800,7086.156018389235,108.41531217536263
5290,6317.167603599385,306.5765786710154
5293,5687.209376351988,1515.8719419562117
5806,7231.728569464486,1414.1371014677077
5296,5806.8841926732075,2025.4137396697372
5809,7157.682826745238,1113.5213428721777
5299,4999.001384503695,771.7275738476714
5812,7545.646982166031,615.0231689647918
5302,5111.261513527147,884.2344173556733
5815,6972.240955887514,765.2692776076728
5305,6233.168777200124,196.65834430742984
5818,8480.818055428226,22.67812311984151
5308,7824.667654991729,933.7524511616284
5821,8476.553608109498,-97.10124344625548
5311,6033.328132096764,361.87764769320046
5824,4557.047199285842,1490.910590765091
5314,6093.380472282215,203.07790833641556
5320,5512.339894623303,1036.2863575608535
5323,5655.075131883369,1118.479900023961
5326,6971.529079052903,482.8100245547748
5839,8803.62029378539,-5.401821649042834
5329,7913.242905748933,1090.6777706909163
5842,8846.208443202395,137.9430883384964
5332,4616.442593005213,983.2283189900654
5845,8839.774221362084,215.0598488355984
5335,8219.950195158013,1073.9475721467331
5848,8766.486317124565,365.2523351978488
5338,8068.340344327744,1074.185259627952
5851,8698.749117948068,427.4761418462144
5341,7711.806329797614,75.72314467716485
5854,8937.426799789397,338.70952600218266
5344,8133.840319185234,38.96155959858815
5857,8829.075674809606,425.13923238259116
5347,7697.696457173911,22.01215076423257
5860,7583.892780921293,878.0567181170454
5350,8294.166742956128,-26.77154277938202
5863,8226.40242115445,116.39566806429094
5353,7758.659836215375,606.5755320160071
5866,8328.453427211467,117.83258082614276
5356,8476.709380728964,-36.49922833348542
5869,7189.8567498564935,1498.4335052302226
5359,4638.625095433323,1321.5779329218765
5872,7758.032932773227,1001.7605761788184
5362,5472.665026202453,139.72802184376053
5875,8254.606080311964,884.2568446329149
5365,5597.106726558132,215.40771742076268
5878,8137.100664828466,874.9890586431953
4855,5649.584853234012,1915.060980010267
5881,8484.943137175982,974.2269509495578
4858,6182.338620961881,1886.475684074755
5884,8487.846317182308,929.648991111716
4861,5233.849521465376,1225.2688815938873
5887,8471.644748729654,1025.8981672812795
5380,8166.886232005909,236.69241416461037
5893,7907.430285204089,719.3056314934204
4870,8288.39555066252,224.71677928371105
5896,8455.076919650324,822.0521528639763
4873,6833.352470457379,1579.812295449799
5386,7224.605140665634,1216.76311424052
4876,7499.092121364904,1634.8766038435174
5389,6386.914610043616,1534.1424268506762
4879,7250.479788255919,1618.9792460185993
5392,5856.023462694136,1492.6927410828043
4882,5385.887621284425,1223.7485271094638
5395,4696.343387855184,1497.3631974425818
4885,7834.183006071725,787.467542378984
5398,4868.833990319101,1354.2078201812806
4888,7708.924032043797,782.7691904538477
5401,6839.894936500015,1403.1534799773883
4891,8129.830773436913,-23.69130941067493
5404,6329.94508249722,1693.7208105959437
4894,6716.922075792267,1422.435687064402
5407,7536.565166395929,670.9090769373432
4897,4524.906577204474,510.7876845779284
5410,4898.08574080605,1612.082871087951
4900,7185.792622279332,2106.5070121220706
5413,7139.889650051496,425.1798333236021
4903,7371.946470774922,2050.938999749159
5416,5911.698686169522,494.588905688974
4906,4733.508927710416,184.65232602119113
5419,5500.938843107463,282.632429903962
4909,4740.170968973499,265.54433590331433
5422,4588.267830829119,1761.2298672453312
5425,4614.335444123797,1613.8274553484475
5428,7343.068784880541,1130.3944127385018
4918,6862.153504279884,2275.0627564739684
5431,7067.405859551264,1291.8980213229231
4921,7018.897551437084,2182.016034701997
